"condition","Iteration","InSampleError","Error","Model"
0,41,0.321458911467243,0.338023845968882,"Homothetic Hyperbolic"
0,42,0.330544354291242,0.315213322022231,"Homothetic Hyperbolic"
0,43,0.329398710873031,0.329042964629879,"Homothetic Hyperbolic"
0,44,0.319754299252079,0.344720401592691,"Homothetic Hyperbolic"
0,45,0.318571368498528,0.332461979489361,"Homothetic Hyperbolic"
0,46,0.339995805153894,0.315410144766362,"Homothetic Hyperbolic"
0,47,0.322663717934659,0.338932902244738,"Homothetic Hyperbolic"
0,48,0.336123091068288,0.320883236244138,"Homothetic Hyperbolic"
0,49,0.336012338550596,0.337065245254215,"Homothetic Hyperbolic"
0,50,0.339905756040577,0.322772027495718,"Homothetic Hyperbolic"
0,51,0.32442405236481,0.335855756227313,"Homothetic Hyperbolic"
0,52,0.319937793681186,0.341064339917365,"Homothetic Hyperbolic"
0,53,0.339455761671033,0.32702958776505,"Homothetic Hyperbolic"
0,54,0.322171665730854,0.345874251638574,"Homothetic Hyperbolic"
0,55,0.322251658220533,0.327913704715425,"Homothetic Hyperbolic"
0,56,0.338638512753882,0.322633513603982,"Homothetic Hyperbolic"
0,57,0.327265702338052,0.333045033453415,"Homothetic Hyperbolic"
0,58,0.337080262618438,0.330272928685612,"Homothetic Hyperbolic"
0,59,0.321498441080096,0.338166729493256,"Homothetic Hyperbolic"
0,60,0.326944322949093,0.331607104275642,"Homothetic Hyperbolic"
0,61,0.331992780611465,0.328070468857309,"Homothetic Hyperbolic"
0,62,0.326057343770138,0.33709650441143,"Homothetic Hyperbolic"
0,63,0.325460280897032,0.343134325064256,"Homothetic Hyperbolic"
